,respondent_id,plan_date,HIGH_AVG,LOW_AVG,hour01,hour02,hour03,hour04,hour05,hour06,hour07,hour08,hour09,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,hour24
0,139,1/1/2013,-0.9024390243902439,-1.5,580.9619141,576.9619141,569.9619141,571.9619141,595.9619141,616.9619141,649.9619141,674.9619141,688.9619141,703.9619141,696.9619141,685.9619141,668.9619141,646.9619141,642.9619141,647.9619141,697.9619141,746.9619141,747.9619141,738.9619141,720.9619141,690.9619141,642.9619141,596.9619141
1,139,1/2/2013,-0.9024390243902439,-1.4230769230769231,571.9619141,570.9619141,561.9619141,588.9619141,616.9619141,683.9619141,751.9619141,811.9619141,805.9619141,807.9619141,797.9619141,779.9619141,757.9619141,735.9619141,701.9619141,701.9619141,750.9619141,803.9619141,819.9619141,816.9619141,791.9619141,755.9619141,694.9619141,653.9619141
2,139,1/3/2013,-0.8780487804878049,-1.5384615384615385,618.9619141,612.9619141,611.9619141,627.9619141,661.9619141,729.9619141,813.9619141,852.9619141000001,843.9619141000001,827.9619141,791.9619141,765.9619141,732.9619141,706.9619141,712.9619141,748.9619141,778.9619141,812.9619141,803.9619141,785.9619141,759.9619141,716.9619141,649.9619141,585.9619141
3,139,1/4/2013,-0.4634146341463415,-0.8076923076923077,560.9619141,538.9619141,533.9619141,533.9619141,561.9619141,616.9619141,690.9619141,722.9619141,710.9619141,699.9619141,683.9619141,658.9619141,635.9619141,620.9619141,616.9619141,616.9619141,653.9619141,700.9619141,688.9619141,682.9619141,654.9619141,634.9619141,583.9619141,547.9619141
4,139,1/5/2013,-0.6341463414634146,-0.5384615384615384,507.9619141,493.9619141,479.9619141,477.9619141,480.9619141,518.9619141,543.9619141,580.9619141,612.9619141,629.9619141,647.9619141,652.9619141,643.9619141,633.9619141,626.9619141,624.9619141,644.9619141,684.9619141,672.9619141,658.9619141,641.9619141,612.9619141,574.9619141,531.9619141
5,139,1/6/2013,-0.6341463414634146,-0.6538461538461539,512.9619141,495.9619141,485.9619141,491.9619141,496.9619141,513.9619141,547.9619141,576.9619141,605.9619141,627.9619141,629.9619141,624.9619141,625.9619141,621.9619141,603.9619141,604.9619141,636.9619141,681.9619141,680.9619141,660.9619141,645.9619141,611.9619141,566.9619141,517.9619141
6,139,1/7/2013,-0.4634146341463415,-0.46153846153846156,489.9619141,472.9619141,470.9619141,479.9619141,507.9619141,577.9619141,651.9619141,686.9619141,692.9619141,671.9619141,669.9619141,670.9619141,661.9619141,658.9619141,643.9619141,649.9619141,684.9619141,725.9619141,726.9619141,709.9619141,679.9619141,636.9619141,577.9619141,520.9619141
7,139,1/8/2013,-0.34146341463414637,-0.38461538461538464,496.9619141,473.9619141,472.9619141,482.9619141,505.9619141,567.9619141,647.9619141,687.9619141,679.9619141,677.9619141,673.9619141,677.9619141,666.9619141,663.9619141,641.9619141,653.9619141,681.9619141,705.9619141,705.9619141,683.9619141,656.9619141,613.9619141,556.9619141,496.9619141
8,139,1/9/2013,-0.36585365853658536,-0.7692307692307693,466.9619141,451.9618835,448.9618835,454.9619141,492.9619141,561.9619141,638.9619141,690.9619141,706.9619141,697.9619141,699.9619141,700.9619141,694.9619141,688.9619141,693.9619141,695.9619141,725.9619141,780.9619141,782.9619141,774.9619141,746.9619141,716.9619141,656.9619141,604.9619141
9,139,1/10/2013,-0.6097560975609756,-1.0,568.9619141,557.9619141,556.9619141,566.9619141,597.9619141,673.9619141,741.9619141,784.9619141,765.9619141,744.9619141,742.9619141,730.9619141,718.9619141,721.9619141,713.9619141,721.9619141,752.9619141,792.9619141,786.9619141,776.9619141,754.9619141,707.9619141,649.9619141,595.9619141
10,139,1/11/2013,-1.024390243902439,-1.3846153846153846,569.9619141,555.9619141,564.9619141,577.9619141,617.9619141,694.9619141,781.9619141,822.9619141,824.9619141,787.9619141,762.9619141,744.9619141,713.9619141,697.9619141,681.9619141,687.9619141,735.9619141,796.9619141,812.9619141,786.9619141,776.9619141,737.9619141,700.9619141,661.9619141
11,139,1/12/2013,-1.0975609756097562,-1.6153846153846154,629.9619141,621.9619141,622.9619141,632.9619141,645.9619141,674.9619141,722.9619141,756.9619141,794.9619141,799.9619141,785.9619141,744.9619141,722.9619141,688.9619141,671.9619141,673.9619141,708.9619141,769.9619141,779.9619141,773.9619141,754.9619141,741.9619141,693.9619141,658.9619141
12,139,1/13/2013,-1.146341463414634,-1.6153846153846154,641.9619141,632.9619141,635.9619141,635.9619141,661.9619141,683.9619141,717.9619141,767.9619141,805.9619141,824.9619141,792.9619141,765.9619141,728.9619141,713.9619141,706.9619141,713.9619141,741.9619141,798.9619141,812.9619141,810.9619141,799.9619141,758.9619141,699.9619141,647.9619141
13,139,1/14/2013,-1.1219512195121952,-1.6153846153846154,629.9619141,623.9619141,632.9619141,650.9619141,675.9619141,757.9619141,842.9619141000001,893.9619141000001,873.9619141000001,847.9619141000001,841.9619141000001,817.9619141,781.9619141,760.9619141,740.9619141,766.9619141,785.9619141,839.9619141000001,846.9619141000001,823.9619141,795.9619141,746.9619141,686.9619141,623.9619141
14,139,1/15/2013,-0.8292682926829268,-1.1923076923076923,591.9619141,592.9619141,584.9619141,594.9619141,631.9619141,695.9619141,770.9619141,811.9619141,797.9619141,768.9619141,739.9619141,705.9619141,692.9619141,673.9619141,657.9619141,667.9619141,703.9619141,774.9619141,795.9619141,788.9619141,774.9619141,739.9619141,685.9619141,626.9619141
15,139,1/16/2013,-0.8780487804878049,-1.4615384615384615,610.9619141,607.9619141,608.9619141,625.9619141,671.9619141,740.9619141,828.9619141,870.9619141000001,863.9619141000001,845.9619141000001,824.9619141,797.9619141,761.9619141,732.9619141,705.9619141,700.9619141,731.9619141,805.9619141,818.9619141,815.9619141,793.9619141,752.9619141,701.9619141,646.9619141
16,139,1/17/2013,-1.024390243902439,-1.3461538461538463,614.9619141,616.9619141,612.9619141,631.9619141,671.9619141,743.9619141,827.9619141,857.9619141000001,837.9619141,830.9619141,816.9619141,791.9619141,774.9619141,748.9619141,726.9619141,733.9619141,764.9619141,821.9619141,814.9619141,802.9619141,781.9619141,741.9619141,679.9619141,621.9619141
17,139,1/18/2013,-1.048780487804878,-1.2692307692307692,598.9619141,582.9619141,589.9619141,598.9619141,635.9619141,707.9619141,785.9619141,828.9619141,817.9619141,804.9619141,772.9619141,766.9619141,744.9619141,712.9619141,719.9619141,727.9619141,754.9619141,786.9619141,783.9619141,761.9619141,740.9619141,703.9619141,653.9619141,605.9619141
18,139,1/19/2013,-1.0,-1.0769230769230769,570.9619141,562.9619141,554.9619141,567.9619141,569.9619141,600.9619141,639.9619141,684.9619141,708.9619141,735.9619141,757.9619141,740.9619141,727.9619141,715.9619141,701.9619141,700.9619141,719.9619141,754.9619141,751.9619141,736.9619141,718.9619141,687.9619141,644.9619141,607.9619141
19,139,1/20/2013,-1.048780487804878,-1.0769230769230769,575.9619141,563.9619141,552.9619141,557.9619141,565.9619141,591.9619141,632.9619141,661.9619141,695.9619141,721.9619141,728.9619141,727.9619141,719.9619141,701.9619141,691.9619141,689.9619141,701.9619141,750.9619141,748.9619141,736.9619141,711.9619141,676.9619141,631.9619141,586.9619141
20,139,1/21/2013,-1.0975609756097562,-1.0769230769230769,562.9619141,542.9619141,545.9619141,552.9619141,582.9619141,625.9619141,676.9619141,714.9619141,742.9619141,746.9619141,769.9619141,768.9619141,766.9619141,751.9619141,755.9619141,755.9619141,774.9619141,815.9619141,816.9619141,800.9619141,773.9619141,735.9619141,670.9619141,618.9619141
21,139,1/22/2013,-1.024390243902439,-1.3076923076923077,583.9619141,572.9619141,575.9619141,590.9619141,620.9619141,690.9619141,782.9619141,816.9619141,807.9619141,808.9619141,800.9619141,784.9619141,770.9619141,753.9619141,730.9619141,729.9619141,765.9619141,808.9619141,813.9619141,786.9619141,776.9619141,718.9619141,649.9619141,592.9619141
22,139,1/23/2013,-0.8536585365853658,-0.8076923076923077,563.9619141,554.9619141,543.9619141,547.9619141,586.9619141,649.9619141,724.9619141,763.9619141,748.9619141,735.9619141,723.9619141,723.9619141,718.9619141,720.9619141,719.9619141,730.9619141,748.9619141,787.9619141,785.9619141,765.9619141,733.9619141,693.9619141,628.9619141,572.9619141
23,139,1/24/2013,-0.7073170731707317,-0.8461538461538461,542.9619141,537.9619141,531.9619141,550.9619141,577.9619141,649.9619141,738.9619141,778.9619141,766.9619141,728.9619141,718.9619141,703.9619141,684.9619141,685.9619141,681.9619141,685.9619141,720.9619141,752.9619141,756.9619141,736.9619141,715.9619141,661.9619141,607.9619141,555.9619141
24,139,1/25/2013,-0.36585365853658536,-0.5384615384615384,515.9619141,497.9619141,491.9619141,497.9619141,518.9619141,586.9619141,653.9619141,693.9619141,682.9619141,662.9619141,653.9619141,626.9619141,607.9619141,576.9619141,592.9619141,581.9619141,604.9619141,655.9619141,675.9619141,656.9619141,646.9619141,618.9619141,589.9619141,551.9619141
25,139,1/26/2013,-0.4878048780487805,-0.6923076923076923,521.9619141,518.9619141,507.9619141,507.9619141,516.9619141,546.9619141,569.9619141,609.9619141,641.9619141,648.9619141,646.9619141,637.9619141,609.9619141,597.9619141,582.9619141,578.9619141,608.9619141,665.9619141,666.9619141,661.9619141,642.9619141,617.9619141,576.9619141,539.9619141
26,139,1/27/2013,-0.7804878048780488,-0.5,512.9619141,495.9619141,482.9619141,489.9619141,492.9619141,516.9619141,547.9619141,577.9619141,609.9619141,627.9619141,651.9619141,651.9619141,657.9619141,656.9619141,649.9619141,665.9619141,680.9619141,725.9619141,725.9619141,709.9619141,694.9619141,646.9619141,600.9619141,548.9619141
27,139,1/28/2013,-0.7804878048780488,-0.6153846153846154,522.9619141,496.9619141,502.9619141,506.9619141,536.9619141,603.9619141,680.9619141,714.9619141,704.9619141,710.9619141,710.9619141,709.9619141,708.9619141,702.9619141,710.9619141,708.9619141,731.9619141,755.9619141,759.9619141,743.9619141,705.9619141,655.9619141,595.9619141,543.9619141
28,139,1/29/2013,-0.5121951219512195,-0.34615384615384615,510.9619141,491.9619141,486.9619141,491.9619141,521.9619141,579.9619141,652.9619141,688.9619141,673.9619141,666.9619141,661.9619141,662.9619141,652.9619141,658.9619141,648.9619141,656.9619141,685.9619141,715.9619141,715.9619141,703.9619141,683.9619141,633.9619141,577.9619141,528.9619141
29,139,1/30/2013,-0.5121951219512195,-0.15384615384615385,493.9619141,478.9619141,463.9619141,470.9619141,507.9619141,561.9619141,643.9619141,676.9619141,665.9619141,657.9619141,654.9619141,648.9619141,654.9619141,644.9619141,639.9619141,643.9619141,654.9619141,626.9619141,684.9619141,677.9619141,661.9619141,619.9619141,564.9619141,507.9619141
30,139,1/31/2013,-0.4146341463414634,-0.15384615384615385,473.9619141,453.9619141,448.9618835,458.9619141,474.9619141,549.9619141,624.9619141,667.9619141,655.9619141,645.9619141,637.9619141,637.9619141,632.9619141,613.9619141,603.9619141,609.9619141,631.9619141,672.9619141,687.9619141,669.9619141,655.9619141,607.9619141,561.9619141,505.9619141
31,139,2/1/2013,-0.43902439024390244,-0.3076923076923077,473.8599243,451.8599243,441.8599243,450.8599243,481.8599243,553.8599243,615.8599243,649.8599243,645.8599243,636.8599243,626.8599243,606.8599243,592.8599243,575.8599243,564.8599243,565.8599243,572.8599243,624.8599243,646.8599243,637.8599243,622.8599243,594.8599243,556.8599243,517.8599243
32,139,2/2/2013,-0.6585365853658537,-0.6538461538461539,483.8599243,468.8599243,460.8599243,455.8599243,468.8599243,491.8599243,531.8599243,565.8599243,602.8599243,618.8599243,635.8599243,627.8599243,624.8599243,607.8599243,600.8599243,590.8599243,599.8599243,646.8599243,661.8599243,651.8599243,632.8599243,608.8599243,576.8599243,541.8599243
33,139,2/3/2013,-0.5853658536585366,-0.7692307692307693,520.8599243,503.8599243,502.8599243,500.8599243,508.8599243,526.8599243,560.8599243,576.8599243,612.8599243,642.8599243,645.8599243,649.8599243,634.8599243,627.8599243,615.8599243,593.8599243,591.8599243,618.8599243,623.8599243,614.8599243,622.8599243,602.8599243,546.8599243,499.8599243
34,139,2/4/2013,-0.43902439024390244,-0.3076923076923077,471.8599243,454.8599243,449.8599243,460.8599243,485.8599243,556.8599243,630.8599243,671.8599243,660.8599243,645.8599243,632.8599243,615.8599243,593.8599243,579.8599243,561.8599243,567.8599243,599.8599243,649.8599243,668.8599243,658.8599243,630.8599243,592.8599243,544.8599243,498.8599243
35,139,2/5/2013,-0.4146341463414634,-0.38461538461538464,475.8599243,466.8599243,458.8599243,467.8599243,490.8599243,557.8599243,635.8599243,665.8599243,656.8599243,633.8599243,617.8599243,617.8599243,617.8599243,604.8599243,603.8599243,617.8599243,636.8599243,679.8599243,705.8599243,695.8599243,672.8599243,628.8599243,575.8599243,519.8599243
36,139,2/6/2013,-0.4634146341463415,-0.3076923076923077,498.8599243,478.8599243,475.8599243,475.8599243,513.8599243,573.8599243,652.8599243,694.8599243,669.8599243,657.8599243,633.8599243,624.8599243,615.8599243,613.8599243,618.8599243,621.8599243,651.8599243,684.8599243,702.8599243,680.8599243,663.8599243,618.8599243,562.8599243,512.8599243
37,139,2/7/2013,-0.4878048780487805,-0.5384615384615384,482.8599243,471.8599243,471.8599243,481.8599243,513.8599243,578.8599243,661.8599243,693.8599243,686.8599243,654.8599243,639.8599243,626.8599243,615.8599243,605.8599243,587.8599243,579.8599243,595.8599243,649.8599243,689.8599243,698.8599243,692.8599243,654.8599243,606.8599243,559.8599243
38,139,2/8/2013,-0.6097560975609756,-0.9615384615384616,528.8599243,530.8599243,514.8599243,538.8599243,568.8599243,641.8599243,720.8599243,745.8599243,739.8599243,715.8599243,697.8599243,669.8599243,647.8599243,644.8599243,628.8599243,633.8599243,648.8599243,682.8599243,695.8599243,678.8599243,654.8599243,625.8599243,580.8599243,538.8599243
39,139,2/9/2013,-0.6585365853658537,-0.6153846153846154,500.8599243,492.8599243,482.8599243,477.8599243,496.8599243,518.8599243,554.8599243,594.8599243,619.8599243,628.8599243,615.8599243,598.8599243,587.8599243,582.8599243,576.8599243,566.8599243,582.8599243,620.8599243,634.8599243,633.8599243,610.8599243,590.8599243,552.8599243,514.8599243
40,139,2/10/2013,-0.6829268292682927,-0.5384615384615384,489.8599243,471.8599243,466.8599243,451.8599243,468.8599243,486.8599243,521.8599243,548.8599243,577.8599243,592.8599243,584.8599243,572.8599243,568.8599243,556.8599243,559.8599243,561.8599243,592.8599243,640.8599243,658.8599243,654.8599243,628.8599243,593.8599243,543.8599243,497.8599243
41,139,2/11/2013,-0.6097560975609756,-0.5769230769230769,471.8599243,457.8599243,452.8599243,463.8599243,493.8599243,567.8599243,653.8599243,691.8599243,675.8599243,669.8599243,646.8599243,632.8599243,634.8599243,626.8599243,614.8599243,627.8599243,637.8599243,670.8599243,695.8599243,680.8599243,660.8599243,616.8599243,555.8599243,503.8599243
42,139,2/12/2013,-0.3902439024390244,-0.19230769230769232,475.8599243,458.8599243,450.8599243,451.8599243,479.8599243,551.8599243,620.8599243,657.8599243,641.8599243,627.8599243,631.8599243,628.8599243,621.8599243,613.8599243,606.8599243,604.8599243,619.8599243,655.8599243,682.8599243,667.8599243,644.8599243,609.8599243,547.8599243,498.8599243
43,139,2/13/2013,-0.4634146341463415,-0.19230769230769232,469.8599243,449.8599243,448.8599243,449.8599243,488.8599243,554.8599243,635.8599243,666.8599243,666.8599243,649.8599243,639.8599243,629.8599243,618.8599243,623.8599243,616.8599243,611.8599243,630.8599243,668.8599243,689.8599243,674.8599243,655.8599243,625.8599243,569.8599243,513.8599243
44,139,2/14/2013,-0.5365853658536586,-0.4230769230769231,477.8599243,470.8599243,463.8599243,477.8599243,508.8599243,570.8599243,652.8599243,686.8599243,677.8599243,669.8599243,653.8599243,638.8599243,621.8599243,615.8599243,609.8599243,606.8599243,609.8599243,642.8599243,666.8599243,646.8599243,622.8599243,587.8599243,539.8599243,496.8599243
45,139,2/15/2013,-0.36585365853658536,-0.46153846153846156,467.8599243,445.8599243,443.8599243,445.8599243,466.8599243,531.8599243,595.8599243,621.8599243,635.8599243,637.8599243,635.8599243,607.8599243,584.8599243,562.8599243,538.8599243,529.8599243,526.8599243,560.8599243,604.8599243,605.8599243,591.8599243,575.8599243,540.8599243,511.8599243
46,139,2/16/2013,-0.4146341463414634,-0.6923076923076923,480.8599243,466.8599243,470.8599243,466.8599243,469.8599243,491.8599243,518.8599243,553.8599243,575.8599243,601.8599243,601.8599243,594.8599243,559.8599243,545.8599243,525.8599243,513.8599243,528.8599243,562.8599243,613.8599243,614.8599243,596.8599243,577.8599243,542.8599243,512.8599243
47,139,2/17/2013,-0.5609756097560976,-0.6153846153846154,489.8599243,476.8599243,472.8599243,479.8599243,486.8599243,506.8599243,541.8599243,567.8599243,591.8599243,605.8599243,594.8599243,583.8599243,565.8599243,557.8599243,538.8599243,538.8599243,551.8599243,599.8599243,629.8599243,628.8599243,605.8599243,581.8599243,540.8599243,508.8599243
48,139,2/18/2013,-0.6097560975609756,-0.6538461538461539,481.8599243,472.8599243,469.8599243,473.8599243,503.8599243,538.8599243,594.8599243,614.8599243,642.8599243,650.8599243,653.8599243,647.8599243,637.8599243,623.8599243,618.8599243,609.8599243,624.8599243,654.8599243,683.8599243,673.8599243,655.8599243,613.8599243,561.8599243,514.8599243
49,139,2/19/2013,-0.5121951219512195,-0.7692307692307693,489.8599243,475.8599243,469.8599243,482.8599243,512.8599243,576.8599243,651.8599243,677.8599243,671.8599243,659.8599243,658.8599243,634.8599243,607.8599243,591.8599243,570.8599243,564.8599243,586.8599243,629.8599243,682.8599243,686.8599243,670.8599243,641.8599243,596.8599243,550.8599243
50,139,2/20/2013,-0.6585365853658537,-1.0,524.8599243,518.8599243,516.8599243,532.8599243,563.8599243,638.8599243,698.8599243,738.8599243,726.8599243,712.8599243,700.8599243,689.8599243,660.8599243,652.8599243,652.8599243,650.8599243,659.8599243,690.8599243,724.8599243,717.8599243,683.8599243,648.8599243,588.8599243,541.8599243
